"Deaths by region, age and year"

"region","age","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"01 Stockholm county","0 years",262,229,186,241,194,217,168,158,150,139,161,164,141,139,133,121,132,140,117,130,133,152,161,135,124,129,112,96,74,62,81,68,75,68,70,67,64,63,77,60,69,55,61,48,64,73,42,63,58,62
"03 Uppsala county","0 years",35,41,39,43,45,42,32,20,13,21,21,22,15,33,20,19,17,16,19,25,23,22,24,37,31,15,21,16,8,12,13,11,10,19,13,8,9,10,6,9,12,15,12,8,14,17,10,6,5,9
"04 Södermanland county","0 years",41,28,39,46,33,43,43,22,18,19,21,22,24,21,15,17,20,19,14,20,21,17,23,25,21,22,12,12,12,14,6,5,9,16,10,8,9,9,8,10,13,10,11,8,13,8,7,15,12,9
"05 Östergötland county","0 years",58,57,78,61,53,50,49,54,41,45,33,32,35,30,40,33,42,26,25,29,34,32,37,40,26,27,27,22,24,21,20,15,9,12,13,16,10,8,14,11,16,12,16,12,8,13,16,8,13,13
"06 Jönköping county","0 years",49,36,66,46,44,32,49,39,24,37,29,26,35,18,19,28,12,27,17,19,22,21,17,29,26,20,26,9,19,11,13,9,13,18,16,14,12,10,12,12,12,10,9,5,11,11,9,10,10,6
"07 Kronoberg county","0 years",36,34,29,33,24,25,31,19,18,21,22,18,12,15,17,15,10,12,20,7,7,19,13,11,16,9,3,9,4,6,9,5,4,7,11,4,3,3,7,5,9,8,1,8,3,6,4,9,10,3
"08 Kalmar county","0 years",53,47,47,36,32,25,37,41,20,28,20,16,27,17,17,17,18,19,17,20,20,18,15,32,21,20,15,14,6,6,8,13,13,8,4,9,8,8,8,14,6,5,10,12,5,7,7,7,7,16
"09 Gotland county","0 years",8,8,10,9,7,4,8,5,8,4,8,6,1,2,5,7,2,5,3,3,5,3,9,5,2,4,4,2,2,3,2,4,4,5,2,1,5,1,2,3,2,2,2,3,4,4,1,0,1,2
"10 Blekinge county","0 years",41,21,18,22,24,20,17,22,17,18,13,22,10,11,9,13,7,11,14,13,9,8,14,14,8,12,7,8,8,0,3,7,3,8,3,5,6,8,5,2,4,6,3,2,4,4,8,5,6,5
"12 Skåne county","0 years",187,150,145,150,151,114,113,106,101,86,86,93,80,65,62,63,70,85,77,87,86,70,76,82,83,71,58,40,42,52,33,38,32,42,32,39,34,29,27,41,33,33,44,37,47,33,41,41,47,37
"13 Halland county","0 years",39,29,32,27,40,30,22,26,27,17,17,17,15,10,22,17,12,14,10,17,11,16,27,20,25,10,20,9,8,10,3,5,8,8,6,9,12,7,11,5,5,10,12,5,5,5,7,8,6,8
"14 Västra Götaland county","0 years",275,241,204,227,233,178,199,134,138,113,105,112,90,95,105,121,84,108,99,108,100,110,125,129,118,99,69,81,76,55,45,46,40,56,43,48,70,40,44,38,45,50,52,37,43,55,37,40,56,43
"17 Värmland county","0 years",45,44,27,46,32,40,34,36,23,24,21,13,12,20,15,17,18,20,18,21,40,18,16,24,29,20,14,16,11,9,15,8,8,9,5,6,6,6,10,5,5,4,5,4,3,5,6,4,7,11
"18 Örebro county","0 years",50,46,33,35,52,31,32,22,17,29,19,20,15,23,20,17,20,18,19,21,24,23,12,15,19,14,15,15,16,13,16,13,12,10,9,10,10,6,7,9,4,10,5,7,11,14,8,9,8,10
"19 Västmanland county","0 years",46,38,52,52,44,34,35,25,26,17,23,14,22,26,21,14,15,16,19,17,17,19,28,15,11,15,14,12,12,8,4,9,10,8,19,11,11,10,7,4,6,13,5,4,5,4,10,5,6,10
"20 Dalarna county","0 years",32,45,34,37,49,37,34,29,28,25,21,27,25,23,21,18,28,25,23,19,15,24,26,30,25,16,12,8,13,8,8,5,10,10,18,11,7,9,10,7,6,7,5,4,12,14,10,5,10,7
"21 Gävleborg county","0 years",51,45,43,47,39,40,29,25,35,24,12,13,21,20,19,24,17,21,18,19,23,22,26,34,18,24,16,16,13,9,11,6,11,10,6,8,7,6,11,6,2,8,12,8,15,7,10,19,13,10
"22 Västernorrland county","0 years",52,26,35,26,38,35,34,35,19,27,30,19,25,18,17,29,22,24,12,21,15,18,18,24,17,14,13,14,4,10,5,9,5,4,10,9,11,5,14,6,4,5,7,7,5,9,5,6,4,3
"23 Jämtland county","0 years",19,15,14,15,10,21,22,12,18,14,5,10,10,14,12,9,16,9,13,11,6,14,15,12,7,3,6,2,2,4,2,1,5,0,3,2,5,1,7,3,2,4,2,2,4,2,3,2,2,1
"24 Västerbotten county","0 years",45,37,30,34,32,25,30,29,38,24,26,23,23,28,24,23,19,31,21,16,21,23,24,23,15,11,16,12,10,4,7,7,15,8,8,12,5,2,3,7,8,7,9,7,8,9,6,11,7,6
"25 Norrbotten county","0 years",54,47,51,37,39,39,32,35,39,41,34,32,33,25,22,24,19,20,30,18,20,21,33,25,15,16,19,16,13,11,12,13,13,8,12,11,10,5,7,11,9,4,11,7,9,6,4,9,4,7
